latitude,longitude,latitudeOriginal,longitudeOriginal,xco2,external error,smoothing error,interference error,retrieval noise,scanID,timeStamp (YY-MM-DD hh:mm:ss)
-44.988514,177.81488,-44.988514,177.81488,399.23282,-9999.0,0.7930726,0.38581613,1.1499692,b'F160101002502423801',16-01-01 00:25:02
-44.98289,177.8152,-44.98289,177.8152,399.2393,-9999.0,0.67578644,0.28986174,1.0378709,b'F160101002507423801',16-01-01 00:25:07
-47.462,176.90233,-47.462,176.90233,395.1159,-9999.0,0.7839696,0.39128962,1.1427268,b'F160101002548423801',16-01-01 00:25:48
-17.032183,158.27,-17.032183,158.27,393.02795,-9999.0,0.6934902,0.3000615,1.0999093,b'F160101015518013301',16-01-01 01:55:18
-17.028898,158.2699,-17.028898,158.2699,395.75775,-9999.0,0.67678213,0.2820902,1.0855632,b'F160101015523013301',16-01-01 01:55:23
-17.026295,158.26949,-17.026295,158.26949,394.27524,-9999.0,0.68461484,0.29496005,1.0947801,b'F160101015527013301',16-01-01 01:55:27
-22.466194,159.59369,-22.466194,159.59369,397.6435,-9999.0,0.489562,0.16006395,0.8339821,b'F160101015655013401',16-01-01 01:56:55
-22.461325,159.59416,-22.461325,159.59416,397.78958,-9999.0,0.48780206,0.16687542,0.83480734,b'F160101015659013401',16-01-01 01:56:59
-24.551607,156.37971,-24.551607,156.37971,395.22446,-9999.0,0.6954908,0.31645176,1.1096144,b'F160101015750013501',16-01-01 01:57:50
-24.547783,156.37885,-24.547783,156.37885,395.7954,-9999.0,0.698499,0.31826067,1.114475,b'F160101015755013501',16-01-01 01:57:55
-24.542776,156.37753,-24.542776,156.37753,395.29712,-9999.0,0.6944978,0.31676856,1.1137727,b'F160101015759013501',16-01-01 01:57:59
-37.760456,155.60808,-37.760456,155.60808,396.48944,-9999.0,0.63602066,0.30335668,1.0630455,b'F160101020108013711',16-01-01 02:01:08
-37.755714,155.60805,-37.755714,155.60805,395.56778,-9999.0,0.55612266,0.23180233,0.95679605,b'F160101020113013711',16-01-01 02:01:13
-39.513573,151.82219,-39.513573,151.82219,393.55264,-9999.0,0.6893053,0.36330524,1.1588031,b'F160101020204013711',16-01-01 02:02:04
-39.509197,151.82077,-39.509197,151.82077,399.2828,-9999.0,0.6761634,0.38038173,1.1480474,b'F160101020208013711',16-01-01 02:02:08
-14.904426,136.76189,-14.904426,136.76189,398.0421,-9999.0,0.52335113,0.26415703,0.8957663,b'F160101033301043301',16-01-01 03:33:01
-14.899891,136.76122,-14.899891,136.76122,396.50003,-9999.0,0.5630081,0.28319204,0.9424828,b'F160101033306043301',16-01-01 03:33:06
-17.03205,133.72583,-17.032326,133.7247,396.65182,-9999.0,0.41857332,0.16140294,0.78131133,b'F160101033329043301',16-01-01 03:33:29
-17.027985,133.72487,-17.028028,133.7238,395.86038,-9999.0,0.418758,0.16245264,0.78225154,b'F160101033338043301',16-01-01 03:33:38
-19.530457,133.11252,-19.53003,133.11153,397.76266,-9999.0,0.40356797,0.20475666,0.70368195,b'F160101033438043401',16-01-01 03:34:38
-19.526579,133.11159,-19.526033,133.11063,398.8073,-9999.0,0.40199533,0.20052737,0.70303947,b'F160101033443043401',16-01-01 03:34:43
-19.521736,133.1103,-19.521074,133.10938,398.53778,-9999.0,0.39892358,0.19246392,0.6961796,b'F160101033447043401',16-01-01 03:34:47
-22.057652,132.49014,-22.058027,132.48741,398.56757,-9999.0,0.4413341,0.24287985,0.8196123,b'F160101033456043401',16-01-01 03:34:56
-22.055061,132.48991,-22.055151,132.48727,399.45743,-9999.0,0.4433898,0.25251693,0.8307855,b'F160101033501043401',16-01-01 03:35:01
-24.552374,131.83714,-24.551416,131.83487,402.2858,-9999.0,0.43080366,0.24313721,0.7936594,b'F160101033601043501',16-01-01 03:36:01
-24.549995,131.83598,-24.548767,131.83377,400.05942,-9999.0,0.43115914,0.25204495,0.79873085,b'F160101033606043501',16-01-01 03:36:06
-24.544754,131.8348,-24.543259,131.83263,400.5627,-9999.0,0.42575666,0.2314167,0.7912502,b'F160101033610043501',16-01-01 03:36:10
-27.074419,131.16644,-27.074953,131.16396,400.46075,-9999.0,0.43192393,0.24152075,0.80733943,b'F160101033615043501',16-01-01 03:36:15
-27.07337,131.16629,-27.073675,131.16386,400.40204,-9999.0,0.42539087,0.23928341,0.8028459,b'F160101033619043501',16-01-01 03:36:19
-27.0708,131.16623,-27.070864,131.16386,400.19397,-9999.0,0.4303439,0.22872402,0.8068601,b'F160101033624043501',16-01-01 03:36:24
-27.495922,133.83571,-27.496048,133.83568,401.68393,-9999.0,0.41801092,0.32048023,0.85370797,b'F160101033629043501',16-01-01 03:36:29
-27.491747,133.8361,-27.49173,133.8361,399.57742,-9999.0,0.41905844,0.27997813,0.90525174,b'F160101033633043501',16-01-01 03:36:33
-27.487267,133.83546,-27.487118,133.8355,396.73697,-9999.0,0.42247468,0.25869232,0.9010591,b'F160101033638043501',16-01-01 03:36:38
-44.42058,125.384254,-44.42058,125.384254,391.5326,-9999.0,0.78101355,0.32944185,1.0435765,b'F160101034142043811',16-01-01 03:41:42
24.805532,121.13505,24.805218,121.13502,405.61386,-9999.0,0.62634933,0.39311078,1.0547072,b'F160101045950072604',16-01-01 04:59:50
-17.420368,111.65835,-17.420368,111.65835,397.69647,-9999.0,0.47854605,0.13002163,0.7884869,b'F160101051154073301',16-01-01 05:11:54
-17.415798,111.65831,-17.415798,111.65831,397.9551,-9999.0,0.4961946,0.14730158,0.81370574,b'F160101051158073301',16-01-01 05:11:58
-17.411722,111.65749,-17.411722,111.65749,398.74234,-9999.0,0.53218734,0.1805328,0.8638172,b'F160101051203073301',16-01-01 05:12:03
-22.458517,110.505684,-22.458517,110.505684,397.76117,-9999.0,0.47632816,0.16011693,0.7782059,b'F160101051316073401',16-01-01 05:13:16
-22.453644,110.506035,-22.453644,110.506035,397.70642,-9999.0,0.47759283,0.17592162,0.7816359,b'F160101051321073401',16-01-01 05:13:21
-22.448832,110.50543,-22.448832,110.50543,397.4896,-9999.0,0.4923411,0.17912498,0.7998177,b'F160101051326073401',16-01-01 05:13:26
42.337284,104.488144,42.336937,104.496124,395.68524,-9999.0,0.54176784,0.23578368,1.0584314,b'F160101063343102301',16-01-01 06:33:43
42.334267,104.485596,42.335243,104.49409,397.7871,-9999.0,0.5385192,0.21523283,1.038669,b'F160101063352102301',16-01-01 06:33:52
39.880405,103.58122,39.875988,103.58774,396.4927,-9999.0,0.50625616,0.14067647,0.88925856,b'F160101063356102301',16-01-01 06:33:56
39.87618,103.57779,39.872517,103.58444,397.63348,-9999.0,0.5050149,0.13759534,0.8870206,b'F160101063401102401',16-01-01 06:34:01
39.872684,103.574646,39.869698,103.58149,400.90363,-9999.0,0.50713134,0.1330608,0.8827114,b'F160101063406102401',16-01-01 06:34:06
38.44855,96.82668,38.443737,96.80423,399.87372,-9999.0,0.6853848,0.13502765,1.0990103,b'F160101063438102401',16-01-01 06:34:38
